Rank,Title,Release Date,Distributor,Genre,Gross,Tickets Sold,highest_grossing_year
45,Heat,12/15/1995,Warner Bros.,Drama,36508135,8392674,1995
46,"To Wong Foo Thanks for Everything, Julie Newmar",9/8/1995,Universal,Comedy,36466570,8383119,1995
47,Waiting to Exhale,12/22/1995,20th Century Fox,Drama,36024320,8281452,1995
48,The Indian in the Cupboard,7/14/1995,Paramount Pictures,Adventure,35627222,8190165,1995
49,A Goofy Movie,4/7/1995,Walt Disney,Adventure,35336439,8123319,1995
50,Judge Dredd,6/30/1995,Walt Disney,Action,34687912,7974232,1995
51,Money Train,11/22/1995,Sony Pictures,Action,34678517,7972072,1995
52,Forget Paris,5/19/1995,Sony Pictures,Romantic Comedy,33194512,7630922,1995
53,Tommy Boy,3/31/1995,Paramount Pictures,Comedy,32648673,7505442,1995
54,Copycat,10/27/1995,Warner Bros.,Thriller/Suspense,31436894,7226872,1995
55,Rob Roy,4/7/1995,MGM,Drama,31390587,7216226,1995
56,Disclosure,12/9/1994,Warner Bros.,Drama,31301740,7195802,1995
57,Forrest Gump,7/6/1994,Paramount Pictures,Drama,31074434,7143548,1995
58,Sabrina,12/15/1995,Paramount Pictures,Romantic Comedy,30788670,7077855,1995
59,Grumpier Old Men,12/22/1995,Warner Bros.,Romantic Comedy,30767512,7072991,1995
60,Free Willy 2: The Adventure Home,7/19/1995,Warner Bros.,Drama,30077111,6914278,1995
61,Powder,10/27/1995,Walt Disney,Drama,29961344,6887665,1995
62,Assassins,10/6/1995,Warner Bros.,Action,29488174,6778890,1995
63,Little Women,12/21/1994,Sony Pictures,Drama,29474280,6775696,1995
64,Major Payne,3/24/1995,Universal,Comedy,29412050,6761390,1995
65,Friday,4/26/1995,New Line,Comedy,27467564,6314382,1995
66,Now and Then,10/20/1995,New Line,Drama,26480554,6087483,1995
67,Houseguest,1/6/1995,Walt Disney,Comedy,26325256,6051782,1995
68,Desperado,8/25/1995,Sony Pictures,Action,25532388,5869514,1995
69,Billy Madison,2/10/1995,Universal,Comedy,25460475,5852982,1995
70,Operation Dumbo Drop,7/28/1995,Walt Disney,Adventure,24670346,5671343,1995
71,Dolores Claiborne,3/24/1995,Sony Pictures,Drama,24262193,5577515,1995
72,Dead Presidents,10/4/1995,Walt Disney,Drama,24061776,5531442,1995
73,Virtuosity,8/4/1995,Paramount Pictures,Action,23998226,5516833,1995
74,How to Make an American Quilt,10/6/1995,Universal,Drama,23600020,5425291,1995
75,Boys on the Side,2/3/1995,Warner Bros.,Drama,23418200,5383494,1995
76,Circle of Friends,3/15/1995,Savoy,Drama,23389975,5377005,1995
77,The Usual Suspects,8/16/1995,Gramercy,Drama,22959756,5278104,1995
78,Don Juan DeMarco,4/7/1995,New Line,Drama,22032635,5064973,1995
79,To Die For,9/27/1995,Sony Pictures,Black Comedy,21155211,4863266,1995
80,Tales from the Crypt: Demon Knight,1/13/1995,Universal,Horror,21089146,4848079,1995
81,The Jungle Book,12/25/1994,Walt Disney,Adventure,20975770,4822016,1995
82,Nell,12/14/1994,20th Century Fox,Drama,20914085,4807835,1995
83,Showgirls,9/22/1995,MGM,Drama,20350754,4678334,1995
84,Vampire in Brooklyn,10/27/1995,Paramount Pictures,Horror,19114796,4394205,1995
85,Johnny Mnemonic,5/26/1995,Sony Pictures,Action,19006201,4369241,1995
86,The Quick and the Dead,2/10/1995,Sony Pictures,Western,18552460,4264933,1995
87,The Big Green,9/29/1995,Walt Disney,Adventure,17736619,4077383,1995
88,HeavyWeights,2/17/1995,Walt Disney,Comedy,17671310,4062370,1995
89,It Takes Two,11/17/1995,Warner Bros.,Comedy,17468169,4015671,1995
90,Murder in the First,1/20/1995,Warner Bros.,Drama,17300238,3977066,1995
91,Home for the Holidays,11/3/1995,Paramount Pictures,Comedy,17289513,3974600,1995
92,Jury Duty,4/12/1995,Sony Pictures,Comedy,16941552,3894609,1995
93,The Prophecy,9/1/1995,Miramax,Horror,16091660,3699232,1995
94,Devil in a Blue Dress,9/29/1995,Sony Pictures,Drama,16030096,3685079,1995
95,Mad Love,5/26/1995,Walt Disney,Drama,15446532,3550926,1995
96,Muriel's Wedding,3/10/1995,Miramax,Comedy,15185000,3490804,1995
97,Halloween: The Curse of Michael Myers,9/29/1995,Miramax,Horror,15126948,3477459,1995
98,The Madness of King George,12/28/1994,Goldwyn Entertain…,Drama,15019414,3452738,1995
99,Kiss of Death,4/21/1995,20th Century Fox,Drama,14942422,3435039,1995
100,Ri¢hie Ri¢h,12/21/1994,Warner Bros.,Comedy,14709190,3381422,1995
1,Independence Day,7/2/1996,20th Century Fox,Adventure,306169255,69269062,1996
2,Twister,5/10/1996,Warner Bros.,Action,241688385,54680630,1996
3,Mission: Impossible,5/21/1996,Paramount Pictures,Action,180981886,40946128,1996
4,The Rock,6/7/1996,Walt Disney,Action,134069511,30332468,1996
5,Ransom,11/8/1996,Walt Disney,Action,129181606,29226607,1996
6,The Nutty Professor,6/28/1996,Universal,Comedy,128814019,29143443,1996
7,The Birdcage,3/8/1996,MGM,Comedy,124060553,28067998,1996
8,101 Dalmatians,11/27/1996,Walt Disney,Adventure,121795758,27555601,1996
9,A Time to Kill,7/24/1996,Warner Bros.,Drama,108766007,24607693,1996
10,The First Wives Club,9/20/1996,Paramount Pictures,Comedy,104670012,23680998,1996
11,Phenomenon,7/5/1996,Walt Disney,Drama,104539127,23651386,1996
12,Eraser,6/21/1996,Warner Bros.,Action,101295562,22917547,1996
13,The Hunchback of Notre Dame,6/21/1996,Walt Disney,Adventure,100138851,22655848,1996
14,Star Trek: First Contact,11/22/1996,Paramount Pictures,Adventure,89187714,20178215,1996
15,Space Jam,11/15/1996,Warner Bros.,Adventure,85442296,19330836,1996
16,Jerry Maguire,12/13/1996,Sony Pictures,Romantic Comedy,83338125,18854779,1996
17,Mr. Holland's Opus,12/29/1995,Walt Disney,Drama,82450788,18654024,1996
18,Broken Arrow,2/9/1996,20th Century Fox,Action,70645997,15983257,1996
19,The Cable Guy,6/14/1996,Sony Pictures,Comedy,60240295,13629026,1996
20,Courage Under Fire,7/12/1996,20th Century Fox,Drama,59003384,13349181,1996
21,Jack,8/9/1996,Walt Disney,Drama,58554258,13247569,1996
22,Jingle All the Way,11/22/1996,20th Century Fox,Adventure,57213524,12944236,1996
23,12 Monkeys,12/27/1995,Universal,Drama,56838334,12859351,1996
24,Executive Decision,3/15/1996,Warner Bros.,Thriller/Suspense,56679192,12823346,1996
25,Primal Fear,4/5/1996,Paramount Pictures,Thriller/Suspense,56073633,12686342,1996
26,Beavis and Butt-Head Do America,12/20/1996,Paramount Pictures,Adventure,54196996,12261763,1996
27,Tin Cup,8/16/1996,Warner Bros.,Romantic Comedy,53854588,12184295,1996
28,Sleepers,10/18/1996,Warner Bros.,Drama,52894048,11966979,1996
29,Michael,12/25/1996,New Line,Comedy,52733564,11930670,1996
30,Dragonheart,5/31/1996,Universal,Adventure,51364680,11620968,1996
31,Up Close & Personal,3/1/1996,Walt Disney,Drama,51045801,11548823,1996
32,Romeo+Juliet,11/1/1996,20th Century Fox,Drama,44798596,10135428,1996
33,Jumanji,12/15/1995,Sony Pictures,Adventure,42609673,9640197,1996
34,Toy Story,11/22/1995,Walt Disney,Adventure,41648011,9422626,1996
35,The Mirror Has Two Faces,11/15/1996,Sony Pictures,Romantic Comedy,40767613,9223441,1996
36,Grumpier Old Men,12/22/1995,Warner Bros.,Romantic Comedy,40750991,9219681,1996
37,Dead Man Walking,12/29/1995,Gramercy,Drama,39261491,8882690,1996
38,Scream,12/20/1996,Miramax,Horror,39129829,8852902,1996
39,The Preacher's Wife,12/13/1996,Walt Disney,Drama,38664913,8747717,1996
40,Sense and Sensibility,12/11/1995,Sony Pictures,Drama,38628080,8739384,1996
41,Happy Gilmore,2/16/1996,Universal,Comedy,38623460,8738339,1996
42,The Ghost and the Darkness,10/11/1996,Paramount Pictures,Action,37780381,8547597,1996
43,A Thin Line Between Love and Hate,4/3/1996,New Line,Romantic Comedy,34873513,7889935,1996
44,Set It Off,11/6/1996,New Line,Drama,34639061,7836891,1996
45,Muppet Treasure Island,2/16/1996,Walt Disney,Adventure,34327391,7766378,1996
46,The Truth About Cats & Dogs,4/26/1996,20th Century Fox,Romantic Comedy,34084531,7711432,1996
47,Mars Attacks!,12/13/1996,Warner Bros.,Comedy,33796571,7646283,1996
48,The Long Kiss Goodnight,10/11/1996,New Line,Action,33149649,7499920,1996
49,Striptease,6/28/1996,Sony Pictures,Comedy,33109743,7490892,1996
50,Matilda,8/2/1996,Sony Pictures,Adventure,33098222,7488285,1996
51,Homeward Bound II: Lost in San Francisco,3/8/1996,Walt Disney,Adventure,32709423,7400321,1996
52,Black Sheep,2/2/1996,Paramount Pictures,Comedy,32330354,7314559,1996
53,One Fine Day,12/20/1996,20th Century Fox,Romantic Comedy,32304048,7308608,1996
54,Rumble in the Bronx,2/23/1996,New Line,Action,32281907,7303598,1996
55,Eddie,5/31/1996,Walt Disney,Comedy,31369401,7097149,1996
56,Heat,12/15/1995,Warner Bros.,Drama,30928683,6997439,1996
57,Waiting to Exhale,12/22/1995,20th Century Fox,Drama,30923628,6996295,1996
58,Sgt. Bilko,3/29/1996,Universal,Comedy,30356589,6868006,1996
59,Leaving Las Vegas,10/27/1995,MGM,Drama,29218365,6610489,1996
60,Daylight,12/6/1996,Universal,Action,29156655,6596528,1996
61,James and the Giant Peach,4/12/1996,Walt Disney,Adventure,28921264,6543272,1996
62,The English Patient,11/15/1996,Miramax,Drama,28072076,6351148,1996
63,The Island of Dr. Moreau,8/23/1996,New Line,Adventure,27682712,6263057,1996
64,Spy Hard,5/24/1996,Walt Disney,Comedy,26936265,6094177,1996
65,Eye for an Eye,1/12/1996,Paramount Pictures,Drama,26792700,6061696,1996
66,Harriet the Spy,7/10/1996,Paramount Pictures,Adventure,26570048,6011323,1996
67,First Kid,8/30/1996,Walt Disney,Adventure,26299656,5950148,1996
68,From Dusk Till Dawn,1/19/1996,Miramax/Dimension,Horror,25728961,5821031,1996
69,Down Periscope,3/1/1996,20th Century Fox,Comedy,25723977,5819904,1996
70,That Thing You Do!,10/4/1996,20th Century Fox,Drama,25680349,5810033,1996
71,Escape from L.A.,8/9/1996,Paramount Pictures,Action,25426861,5752683,1996
72,Fly Away Home,9/13/1996,Sony Pictures,Drama,25054202,5668371,1996
73,Kingpin,7/26/1996,MGM,Comedy,25023424,5661408,1996
74,The Craft,5/3/1996,Sony Pictures,Thriller/Suspense,24769466,5603951,1996
75,Father of the Bride Part II,12/8/1995,Walt Disney,Comedy,24313176,5500718,1996
76,Fargo,3/8/1996,Gramercy,Thriller/Suspense,24035883,5437982,1996
77,The Juror,2/2/1996,Sony Pictures,Thriller/Suspense,22730924,5142742,1996
78,Sabrina,12/15/1995,Paramount Pictures,Romantic Comedy,22669649,5128879,1996
79,D3: The Mighty Ducks,10/4/1996,Walt Disney,Comedy,22491695,5088618,1996
80,Emma,8/2/1996,Miramax,Romantic Comedy,22231658,5029786,1996
81,Boys,5/10/1996,Walt Disney,Drama,21930418,4961633,1996
82,The Quest,4/26/1996,Universal,Action,21607190,4888504,1996
83,A Very Brady Sequel,8/23/1996,Paramount Pictures,Comedy,21443204,4851403,1996
84,Chain Reaction,8/2/1996,20th Century Fox,Thriller/Suspense,21226204,4802308,1996
85,Bulletproof,9/6/1996,Universal,Action,21195840,4795438,1996
86,High School High,10/25/1996,Sony Pictures,Comedy,20883060,4724674,1996
87,Fear,4/12/1996,Universal,Thriller/Suspense,20694623,4682041,1996
88,The Glimmer Man,10/4/1996,Warner Bros.,Action,20404841,4616479,1996
89,City Hall,2/16/1996,Sony Pictures,Drama,20278055,4587795,1996
90,Multiplicity,7/17/1996,Sony Pictures,Comedy,20133326,4555051,1996
91,Flipper,5/17/1996,Universal,Adventure,20080020,4542990,1996
92,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1/12/1996,Miramax,Comedy,19674813,4451315,1996
93,Bed of Roses,1/26/1996,New Line,Drama,18972237,4292361,1996
94,Kazaam,7/17/1996,Walt Disney,Adventure,18880508,4271608,1996
95,The Fan,8/16/1996,Sony Pictures,Thriller/Suspense,18582965,4204290,1996
96,Last Man Standing,9/20/1996,New Line,Action,18115927,4098626,1996
97,My Fellow Americans,12/20/1996,Warner Bros.,Comedy,18042099,4081922,1996
98,The Crow: City of Angels,8/30/1996,Miramax,Action,17897671,4049246,1996
99,Extreme Measures,9/27/1996,Sony Pictures,Drama,17378193,3931717,1996
100,The Phantom,6/7/1996,Paramount Pictures,Action,17220599,3896063,1996
1,Men in Black,7/1/1997,Sony Pictures,Adventure,250650052,54607854,1997
2,The Lost World: Jurassic Park,5/22/1997,Universal,Action,229086679,49909951,1997
3,Liar Liar,3/21/1997,Universal,Comedy,181410615,39523009,1997
4,Air Force One,7/25/1997,Sony Pictures,Action,172480186,37577382,1997
5,Titanic,12/19/1997,Paramount Pictures,Thriller/Suspense,157467971,34306747,1997
6,Star Wars: Episode IV - A New Hope,7/21/1978,20th Century Fox,Adventure,138133173,30094373,1997
7,The Godfather,3/15/1972,Paramount Pictures,Drama,129141981,28135507,1997
8,My Best Friend's Wedding,6/20/1997,Sony Pictures,Comedy,126776290,27620106,1997
9,Face/Off,6/27/1997,Paramount Pictures,Action,112276146,24461033,1997
10,Batman & Robin,6/20/1997,Warner Bros.,Action,107325195,23382395,1997
11,George Of The Jungle,7/16/1997,Walt Disney,Adventure,105263257,22933171,1997
12,Con Air,6/6/1997,Walt Disney,Action,101117573,22029972,1997
13,Contact,7/11/1997,Warner Bros.,Drama,100920329,21986999,1997
14,Hercules,6/13/1997,Walt Disney,Adventure,99112101,21593050,1997
15,Tomorrow Never Dies,12/19/1997,MGM,Action,92433154,20137942,1997
16,Scream 2,12/12/1997,Miramax,Horror,85520969,18632019,1997
17,Flubber,11/26/1997,Walt Disney,Comedy,83134090,18112002,1997
18,Conspiracy Theory,8/8/1997,Warner Bros.,Thriller/Suspense,76118990,16583657,1997
19,Jerry Maguire,12/13/1996,Sony Pictures,Romantic Comedy,70614467,15384415,1997
20,I Know What You Did Last Summer,10/17/1997,Sony Pictures,Horror,70426975,15343567,1997
21,Star Wars: Episode V - The Empire Strikes Back,7/31/1981,20th Century Fox,Adventure,67484485,14702502,1997
22,Dante's Peak,2/7/1997,Universal,Drama,67163857,14632648,1997
23,Anaconda,4/11/1997,Sony Pictures,Horror,65598907,14291700,1997
24,Scream,12/20/1996,Miramax,Horror,63916834,13925236,1997
25,The Fifth Element,5/9/1997,Sony Pictures,Action,63570862,13849861,1997
26,In & Out,9/19/1997,Paramount Pictures,Comedy,63417425,13816432,1997
27,The Saint,4/4/1997,Paramount Pictures,Action,61363304,13368911,1997
28,Jungle 2 Jungle,3/7/1997,Walt Disney,Comedy,59925026,13055561,1997
29,Kiss the Girls,10/3/1997,Paramount Pictures,Thriller/Suspense,59757672,13019100,1997
30,Devil's Advocate,10/17/1997,Warner Bros.,Drama,59092127,12874101,1997
31,Spawn,7/31/1997,New Line,Action,54979992,11978211,1997
32,Starship Troopers,11/7/1997,Sony Pictures,Action,54320555,11834543,1997
33,Austin Powers: International Man of Mystery,5/2/1997,New Line,Comedy,53883989,11739431,1997
34,The Jackal,11/14/1997,Universal,Thriller/Suspense,53153666,11580319,1997
35,Anastasia,11/14/1997,20th Century Fox,Musical,53147865,11579055,1997
36,The English Patient,11/15/1996,Miramax,Drama,50644298,11033616,1997
37,Breakdown,5/2/1997,Paramount Pictures,Thriller/Suspense,50159144,10927918,1997
38,Absolute Power,2/14/1997,Sony Pictures,Thriller/Suspense,50068310,10908128,1997
39,The Game,9/12/1997,Polygram,Thriller/Suspense,48265581,10515377,1997
40,G.I. Jane,8/22/1997,Walt Disney,Drama,48169156,10494369,1997
41,Speed 2: Cruise Control,6/13/1997,20th Century Fox,Action,48097081,10478666,1997
42,Star Wars: Episode VI - Return of the Jedi,3/14/1997,20th Century Fox,Adventure,48063790,10471413,1997
43,Evita,12/25/1996,Walt Disney,Musical,47769067,10407204,1997
44,Volcano,4/25/1997,20th Century Fox,Action,47546796,10358779,1997
45,Alien: Resurrection,11/26/1997,20th Century Fox,Action,46139186,10052110,1997
46,Bean,10/17/1997,Gramercy,Comedy,45105316,9826866,1997
47,Cop Land,8/15/1997,Miramax,Drama,44906632,9783579,1997
48,Nothing To Lose,7/18/1997,Walt Disney,Comedy,44480039,9690640,1997
49,The Rainmaker,11/21/1997,Paramount Pictures,Drama,44477263,9690035,1997
50,Soul Food,9/26/1997,20th Century Fox,Comedy,43201124,9412009,1997
51,The Devil's Own,3/26/1997,Sony Pictures,Thriller/Suspense,42885593,9343266,1997
52,Michael,12/25/1996,New Line,Comedy,42611506,9283552,1997
53,Donnie Brasco,2/28/1997,Sony Pictures,Drama,41954997,9140522,1997
54,As Good as it Gets,12/24/1997,Sony Pictures,Romantic Comedy,41563194,9055162,1997
55,The Peacemaker,9/26/1997,Dreamworks SKG,Action,41263140,8989790,1997
56,Private Parts,3/7/1997,Paramount Pictures,Comedy,41198146,8975630,1997
57,Money Talks,8/22/1997,New Line,Action,41076865,8949208,1997
58,MouseHunt,12/19/1997,Dreamworks SKG,Adventure,40081904,8732440,1997
59,L.A. Confidential,9/19/1997,Warner Bros.,Drama,38296320,8343424,1997
60,Seven Years in Tibet,10/8/1997,Sony Pictures,Drama,37600360,8191799,1997
61,Vegas Vacation,2/14/1997,Warner Bros.,Comedy,36470465,7945635,1997
62,Selena,3/21/1997,Warner Bros.,Drama,35450113,7723336,1997
63,The Full Monty,8/13/1997,Fox Searchlight,Comedy,35431393,7719257,1997
64,Mortal Kombat: Annihilation,11/21/1997,New Line,Action,35059903,7638323,1997
65,Addicted To Love,5/23/1997,Warner Bros.,Romantic Comedy,34673095,7554051,1997
66,The Relic,1/10/1997,Paramount Pictures,Horror,33956608,7397953,1997
67,Metro,1/17/1997,Walt Disney,Action,32017895,6975576,1997
68,Picture Perfect,8/1/1997,20th Century Fox,Romantic Comedy,31301775,6819558,1997
69,Beverly Hills Ninja,1/17/1997,Sony Pictures,Comedy,31245344,6807264,1997
70,The Little Mermaid,11/15/1989,Walt Disney,Adventure,29678678,6465942,1997
71,Fools Rush In,2/14/1997,Sony Pictures,Romantic Comedy,29299524,6383338,1997
72,Romy and Michele's High School Reunion,4/25/1997,Walt Disney,Comedy,29235353,6369357,1997
73,Shine,11/22/1996,Fine Line,Drama,29117149,6343605,1997
74,Out to Sea,7/2/1997,20th Century Fox,Comedy,28985323,6314885,1997
75,Father's Day,5/9/1997,Warner Bros.,Comedy,28681080,6248601,1997
76,Grosse Pointe Blank,4/11/1997,Walt Disney,Black Comedy,28084357,6118596,1997
77,The Edge,9/26/1997,20th Century Fox,Thriller/Suspense,27799255,6056482,1997
78,Jackie Brown,12/25/1997,Miramax,Drama,27190450,5923845,1997
79,Amistad,12/12/1997,Dreamworks SKG,Drama,26751325,5828175,1997
80,Event Horizon,8/15/1997,Paramount Pictures,Horror,26673242,5811163,1997
81,Murder at 1600,4/18/1997,Warner Bros.,Thriller/Suspense,25842024,5630070,1997
82,Mimic,8/22/1997,Miramax,Horror,25514166,5558641,1997
83,Air Bud,8/1/1997,Walt Disney,Adventure,24646936,5369702,1997
84,For Richer or Poorer,12/12/1997,Universal,Comedy,24523486,5342807,1997
85,Sling Blade,11/20/1996,Miramax,Drama,24335157,5301777,1997
86,Home Alone 3,12/12/1997,20th Century Fox,Comedy,24271517,5287912,1997
87,Boogie Nights,10/10/1997,New Line,Drama,23841916,5194317,1997
88,Good Burger,7/25/1997,Paramount Pictures,Comedy,23712993,5166229,1997
89,Midnight in the Garden of Good and Evil,11/21/1997,Warner Bros.,Drama,23616463,5145198,1997
90,Hoodlum,8/27/1997,MGM,Drama,23489997,5117646,1997
91,Red Corner,10/31/1997,MGM,Thriller/Suspense,22290435,4856303,1997
92,An American Werewolf in Paris,12/25/1997,Walt Disney,Horror,20105359,4380252,1997
93,Booty Call,2/26/1997,Sony Pictures,Comedy,20066917,4371877,1997
94,Gone Fishin',5/30/1997,Walt Disney,Comedy,19745922,4301943,1997
95,Mother,12/25/1996,Paramount Pictures,Comedy,18596826,4051596,1997
96,The People vs. Larry Flynt,12/25/1996,Sony Pictures,Drama,18447098,4018975,1997
97,That Darn Cat,2/14/1997,Walt Disney,Adventure,18301828,3987326,1997
98,That Old Feeling,4/4/1997,Universal,Romantic Comedy,16408534,3574844,1997
99,Fire Down Below,9/5/1997,Warner Bros.,Action,16148906,3518280,1997
100,Wishmaster,9/19/1997,Live Entertainment,Horror,15719109,3424642,1997
1,Titanic,12/19/1997,Paramount Pictures,Thriller/Suspense,443319081,94524324,1998
2,Armageddon,7/1/1998,Walt Disney,Adventure,201578182,42980422,1998
3,Saving Private Ryan,7/24/1998,Dreamworks SKG,Drama,190588778,40637266,1998
4,There's Something About Mary,7/15/1998,20th Century Fox,Romantic Comedy,174711965,37252018,1998
5,The Waterboy,11/6/1998,Walt Disney,Comedy,150042308,31991963,1998
6,Doctor Dolittle,6/26/1998,20th Century Fox,Adventure,144155259,30736728,1998
7,Deep Impact,5/8/1998,Paramount Pictures,Adventure,140464664,29949821,1998
8,Rush Hour,9/18/1998,New Line,Action,137567454,29332079,1998
9,A Bug's Life,11/20/1998,Walt Disney,Adventure,136426334,29088770,1998
10,Godzilla,5/19/1998,Sony Pictures,Action,136314294,29064881,1998
11,Good Will Hunting,12/5/1997,Miramax,Drama,130828794,27895265,1998
12,Lethal Weapon 4,7/10/1998,Warner Bros.,Action,130444603,27813348,1998
13,The Truman Show,6/5/1998,Paramount Pictures,Drama,125618201,26784264,1998
14,Mulan,6/19/1998,Walt Disney,Adventure,120620254,25718604,1998
15,As Good as it Gets,12/24/1997,Sony Pictures,Romantic Comedy,106914817,22796336,1998
16,Enemy of the State,11/20/1998,Walt Disney,Action,96822391,20644433,1998
17,The Mask of Zorro,7/17/1998,Sony Pictures,Adventure,93828745,20006128,1998
18,Antz,10/2/1998,Dreamworks SKG,Adventure,89325670,19045985,1998
19,The Rugrats Movie,11/20/1998,Paramount Pictures,Adventure,89186192,19016245,1998
20,The X Files: Fight the Future,6/19/1998,20th Century Fox,Action,83898313,17888766,1998
21,The Wedding Singer,2/13/1998,New Line,Romantic Comedy,80245725,17109962,1998
22,City of Angels,4/10/1998,Warner Bros.,Drama,78750909,16791238,1998
23,You've Got Mail,12/18/1998,Warner Bros.,Drama,78028953,16637303,1998
24,The Horse Whisperer,5/15/1998,Walt Disney,Drama,75383563,16073254,1998
25,"Six Days, Seven Nights",6/12/1998,Walt Disney,Romantic Comedy,74339294,15850595,1998
26,Blade,8/21/1998,New Line,Action,70141876,14955623,1998
27,Lost In Space,4/3/1998,New Line,Adventure,69117629,14737234,1998
28,A Perfect Murder,6/5/1998,Warner Bros.,Thriller/Suspense,67658331,14426083,1998
29,Everest,3/6/1998,MacGillivray Free…,Documentary,66877098,14259509,1998
30,The Prince of Egypt,12/18/1998,Dreamworks SKG,Adventure,66546531,14189025,1998
31,The Parent Trap,7/29/1998,Walt Disney,Adventure,66308518,14138276,1998
32,Ever After: A Cinderella Story,7/31/1998,20th Century Fox,Drama,65676965,14003617,1998
33,Patch Adams,12/25/1998,Universal,Comedy,65495000,13964818,1998
34,Hope Floats,5/29/1998,20th Century Fox,Drama,60110313,12816697,1998
35,Star Trek: Insurrection,12/11/1998,Paramount Pictures,Adventure,58654186,12506223,1998
36,U.S. Marshals,3/6/1998,Warner Bros.,Thriller/Suspense,57833603,12331258,1998
37,The Man in the Iron Mask,3/13/1998,MGM,Adventure,56968169,12146731,1998
38,Snake Eyes,8/7/1998,Paramount Pictures,Thriller/Suspense,55591409,11853178,1998
39,What Dreams May Come,10/2/1998,Polygram,Drama,55485043,11830499,1998
40,Small Soldiers,7/10/1998,Dreamworks SKG,Adventure,55143823,11757744,1998
41,Halloween H20: 20 Years Later,8/5/1998,Miramax,Horror,55041738,11735978,1998
42,Stepmom,12/25/1998,Sony/TriStar,Drama,50124835,10687598,1998
43,Practical Magic,10/16/1998,Warner Bros.,Comedy,46850558,9989457,1998
44,The Negotiator,7/29/1998,Warner Bros.,Action,44705766,9532146,1998
45,Meet Joe Black,11/13/1998,Universal,Drama,43585738,9293334,1998
46,Wag the Dog,12/25/1997,New Line,Drama,41595360,8868946,1998
47,Ronin,9/25/1998,MGM,Action,41522392,8853388,1998
48,The Siege,11/6/1998,20th Century Fox,Action,40165607,8564095,1998
49,I Still Know What You Did Last Summer,11/13/1998,Sony Pictures,Horror,39199514,8358105,1998
50,Primary Colors,3/20/1998,Universal,Comedy,39017984,8319399,1998
51,Pleasantville,10/23/1998,New Line,Comedy,38884514,8290941,1998
52,Urban Legend,9/25/1998,Sony Pictures,Horror,37925412,8086441,1998
53,How Stella Got Her Groove Back,8/14/1998,20th Century Fox,Drama,37669623,8031902,1998
54,Out of Sight,6/26/1998,Universal,Drama,37562568,8009076,1998
55,Sphere,2/13/1998,Warner Bros.,Horror,37068294,7903687,1998
56,Mercury Rising,4/3/1998,Universal,Thriller/Suspense,32983332,7032693,1998
57,Tomorrow Never Dies,12/19/1997,MGM,Action,32871122,7008768,1998
58,Bride of Chucky,10/16/1998,Universal,Horror,32404188,6909208,1998
59,Jack Frost,12/11/1998,Warner Bros.,Comedy,31253389,6663835,1998
60,A Night at the Roxbury,10/2/1998,Paramount Pictures,Comedy,30331165,6467199,1998
61,Madeline,7/10/1998,Sony Pictures,Adventure,29858048,6366321,1998
62,Wild Things,3/20/1998,Sony Pictures,Thriller/Suspense,29795299,6352942,1998
63,Spice World,1/23/1998,Sony Pictures,Comedy,29342592,6256416,1998
64,The Object of my Affection,4/17/1998,20th Century Fox,Romantic Comedy,29145924,6214482,1998
65,Grease,3/27/1998,Paramount Pictures,Musical,28350476,6044877,1998
66,Mighty Joe Young,12/25/1998,Walt Disney,Adventure,28152133,6002586,1998
67,Paulie,4/17/1998,Dreamworks SKG,Adventure,27084499,5774946,1998
68,The Big Hit,4/24/1998,Sony Pictures,Action,27066941,5771202,1998
69,Bulworth,5/15/1998,20th Century Fox,Comedy,26528684,5656435,1998
70,Great Expectations,1/30/1998,20th Century Fox,Drama,26333044,5614721,1998
71,L.A. Confidential,9/19/1997,Warner Bros.,Drama,26308657,5609521,1998
72,The Faculty,12/25/1998,Miramax,Horror,26113366,5567881,1998
73,Can't Hardly Wait,6/12/1998,Sony Pictures,Comedy,25358996,5407035,1998
74,Fallen,1/16/1998,Warner Bros.,Thriller/Suspense,25310938,5396788,1998
75,The Avengers,8/14/1998,Warner Bros.,Adventure,23385416,4986229,1998
76,One True Thing,9/18/1998,Universal,Drama,23337196,4975947,1998
77,The Players Club,4/8/1998,New Line,Drama,23047939,4914272,1998
78,Rounders,9/11/1998,Miramax,Drama,22921898,4887398,1998
79,Quest for Camelot,5/15/1998,Warner Bros.,Adventure,22772500,4855543,1998
80,Beloved,10/16/1998,Walt Disney,Drama,22755961,4852017,1998
81,The Borrowers,2/13/1998,Polygram,Adventure,22619589,4822940,1998
82,Mouse Hunt,12/19/1997,Dreamworks SKG,Adventure,21812687,4650892,1998
83,He Got Game,5/1/1998,Walt Disney,Drama,21567853,4598689,1998
84,Psycho,12/4/1998,Universal,Horror,20937263,4464235,1998
85,The Apostle,12/17/1997,October Films,Drama,20692516,4412050,1998
86,Vampires,10/30/1998,Sony Pictures,Horror,19942448,4252121,1998
87,Hard Rain,1/16/1998,Paramount Pictures,Action,19870567,4236794,1998
88,Mafia!,7/24/1998,Walt Disney,Comedy,19843795,4231086,1998
89,Species II,4/10/1998,MGM,Horror,19217565,4097561,1998
90,The Replacement Killers,2/6/1998,Sony Pictures,Action,19035741,4058793,1998
91,The Odd Couple II,4/10/1998,Paramount Pictures,Comedy,18912328,4032479,1998
